kp	0.00000
so	0.00000
sa	0.00007
cr	0.00001
jp	0.01424
re	0.00000
dk	0.00390
gu	0.00000
bt	0.00001
ke	0.00010
ug	0.00014
sn	0.00009
lt	0.00045
kz	0.00034
nz	0.00010
kg	0.00000
la	0.00000
rs	0.00189
do	0.00013
kh	0.00001
pf	0.00001
ru	0.09045
tr	0.00198
nf	0.00001
za	0.00011
sv	0.00006
rw	0.00001
vg	0.00000
ly	0.00001
tm	0.00000
aw	0.00000
ec	0.00011
ma	0.00011
mx	0.00291
ee	0.00195
tj	0.00000
sy	0.00009
qa	0.00000
sb	0.00000
mc	0.00004
eg	0.00022
sh	0.00000
md	0.00090
mr	0.00000
ml	0.00029
es	0.01954
kr	0.00164
hk	0.00032
is	0.00038
ph	0.00333
sd	0.00001
nr	0.00000
pk	0.00032
vc	0.00000
zm	0.00000
cm	0.00001
th	0.00234
ai	0.00000
sz	0.00000
ss	0.00000
pl	0.02041
et	0.00004
ky	0.00000
gg	0.00000
om	0.00000
tg	0.00000
tt	0.00000
zw	0.00000
ba	0.00079
my	0.00014
fi	0.00359
lc	0.00000
pe	0.00056
mk	0.00019
fj	0.00000
pr	0.00000
si	0.00220
us	0.26005
ck	0.00000
ro	0.00520
lb	0.00004
tf	0.00000
ps	0.00002
ae	0.00004
gt	0.00007
tl	0.00000
bj	0.00000
pt	0.00265
iq	0.00001
sk	0.00405
dm	0.00000
by	0.00132
se	0.03367
fo	0.00014
aq	0.00001
bz	0.00000
mo	0.00001
fr	0.19456
mz	0.00003
py	0.00017
gl	0.00010
ao	0.00008
mp	0.00000
me	0.00000
lu	0.00006
sm	0.00000
to	0.00000
hn	0.00002
bs	0.00001
sc	0.00000
gb	0.09630
bm	0.00000
cd	0.00000
st	0.00001
mn	0.00004
bg	0.00121
uy	0.00004
af	0.00006
ag	0.00001
ne	0.00002
mt	0.00007
tc	0.00001
ge	0.00019
gs	0.00000
hr	0.00293
je	0.00001
gy	0.00001
tw	0.00015
cv	0.00000
ch	0.00908
mu	0.00000
al	0.00016
am	0.00026
lv	0.00090
li	0.00003
ci	0.00001
co	0.00004
mv	0.00000
ki	0.00001
ua	0.00945
il	0.00167
an	0.00000
tn	0.00004
id	0.00062
jm	0.00000
gi	0.00005
kw	0.00000
cl	0.00123
vn	0.00160
ar	0.00246
ie	0.00048
bo	0.00083
gm	0.00001
cg	0.00000
cn	0.01060
tz	0.00001
ca	0.01373
im	0.00001
uz	0.00005
at	0.00598
gn	0.00000
br	0.00589
in	0.01089
dz	0.00014
au	0.00118
mg	0.00002
bn	0.00001
lk	0.00002
va	0.00000
pa	0.00001
mw	0.00000
cu	0.00009
bh	0.00001
ax	0.00003
gr	0.00253
hu	0.00664
no	0.00537
ir	0.00317
nc	0.00000
az	0.00008
ve	0.00018
mm	0.00000
bw	0.00001
bi	0.00000
ng	0.00006
ht	0.00000
it	0.02217
bb	0.00000
ni	0.00009
ye	0.00000
cy	0.00009
pg	0.00000
np	0.00022
fk	0.00000
nl	0.01062
kn	0.00000
bd	0.00017
gh	0.00001
gd	0.00000
jo	0.00003
cz	0.01488
sg	0.00006
be	0.00871
de	0.06713
vu	0.00001
na	0.00009
bf	0.00013
