,Country,Documents,Citable documents,Citations,Self-Citations,Citations per Document,H index
1,United States,"7,846,972","7,281,575","152,984,430","72,993,120",22.02,"1,518"
2,China,"3,129,719","3,095,159","14,752,062","8,022,637",6.81,436
3,United Kingdom,"2,141,375","1,932,907","37,450,384","8,829,739",19.82,934
4,Germany,"1,983,270","1,876,342","30,644,118","7,966,777",17.39,815
5,Japan,"1,929,402","1,874,277","23,633,462","6,832,173",13.01,694
6,France,"1,421,190","1,348,769","21,193,343","4,815,333",16.85,742
7,Canada,"1,110,886","1,040,413","18,826,873","3,580,695",20.05,725
8,Italy,"1,083,546","1,015,410","15,317,599","3,570,431",16.45,654
9,India,"868,719","825,025","5,666,045","1,957,907",8.83,341
10,Spain,"857,158","800,214","10,584,940","2,629,669",15.08,531
11,Australia,"782,149","723,460","11,447,009","2,449,459",18.24,583
12,South Korea,"658,602","642,983","5,770,844","1,281,366",11.49,375
13,Russian Federation,"639,598","629,671","3,664,726","1,088,981",6,355
14,Netherlands,"614,552","574,144","12,103,482","2,003,644",23.03,636
15,Brazil,"529,841","510,194","4,164,813","1,415,014",10.98,342
16,Taiwan,"446,282","434,662","3,993,380","930,383",11.35,300
17,Switzerland,"445,163","419,372","9,238,679","1,261,471",24.53,629
18,Sweden,"417,156","397,095","8,069,960","1,267,282",21.76,567
19,Poland,"387,982","378,483","2,939,536","768,212",8.93,336
20,Turkey,"348,836","330,411","2,417,631","624,695",9.07,237
21,Belgium,"335,160","316,462","5,658,300","820,146",19.68,502
22,Israel,"247,561","234,696","4,346,150","607,046",19.29,456
23,Iran,"245,221","238,554","1,135,790","445,205",9.15,158
24,Austria,"241,610","227,014","3,668,207","505,720",18.04,416
25,Denmark,"234,852","221,544","4,653,794","670,279",23.38,476
26,Finland,"212,195","204,004","3,677,439","583,752",19.94,407
27,Greece,"203,437","190,628","2,254,244","383,567",13.4,295
28,Mexico,"188,449","181,539","1,642,228","350,720",10.91,261
29,Czech Republic,"185,849","180,816","1,550,054","372,370",10.09,268
30,Norway,"183,463","172,258","2,802,491","452,749",18.83,362
31,Hong Kong,"180,958","172,610","2,448,025","340,370",15.53,325
32,Singapore,"171,037","163,153","2,051,237","278,461",14.42,308
33,Portugal,"164,769","157,282","1,696,543","337,555",14.1,269
34,New Zealand,"146,264","135,988","2,084,166","327,237",17.2,318
35,South Africa,"144,413","135,286","1,452,790","319,213",12.43,260
36,Argentina,"131,915","126,594","1,416,615","305,731",12.53,249
37,Malaysia,"125,084","121,714","497,646","133,502",8.68,145
38,Hungary,"124,265","119,853","1,416,878","231,496",12.71,277
39,Ukraine,"122,263","120,377","539,896","153,214",4.65,159
40,Ireland,"119,983","111,434","1,647,369","196,295",17.85,299
41,Romania,"109,831","107,883","503,716","127,168",6.84,153
42,Egypt,"104,784","102,181","659,779","132,942",8.42,148
43,Thailand,"95,690","91,925","790,474","134,626",12.09,190
44,Chile,"79,084","76,290","842,308","161,604",14.36,214
45,Saudi Arabia,"74,210","71,129","403,827","63,995",8.09,144
46,Pakistan,"70,208","67,491","328,281","94,655",6.95,130
47,Croatia,"65,197","63,206","377,749","84,018",7,161
48,Slovakia,"64,247","62,679","473,062","97,773",8.52,165
49,Slovenia,"57,652","55,911","503,033","99,039",10.49,172
50,Bulgaria,"50,312","49,162","384,937","64,381",8.49,154
51,Nigeria,"47,126","45,612","221,059","51,478",6.9,103
52,Tunisia,"44,798","42,808","218,166","48,839",7.39,97
53,Colombia,"43,554","41,874","298,443","46,795",11.56,151
54,Serbia,"37,658","36,366","131,298","35,560",5.4,86
55,Morocco,"31,277","29,822","195,079","36,093",7.88,109
56,Algeria,"31,153","30,665","137,505","26,895",7.1,89
57,Venezuela,"29,576","28,650","242,086","33,370",9.1,141
58,Lithuania,"28,091","27,572","187,580","43,720",9.22,122
59,Cuba,"27,139","26,186","147,685","31,514",6.35,106
60,Belarus,"26,920","26,525","148,685","28,240",5.64,114
61,Indonesia,"25,481","24,461","185,695","20,750",11.86,126
62,Bangladesh,"23,028","22,286","147,791","28,986",9.26,112
63,United Arab Emirates,"22,874","21,785","131,259","14,245",8.42,100
64,Jordan,"22,753","22,273","136,316","18,084",8.04,92
65,Estonia,"22,131","21,496","255,452","46,031",14.79,148
66,Viet Nam,"20,460","19,854","161,813","23,690",12.89,122
67,Kenya,"19,209","18,065","258,017","41,270",16.68,149
68,Lebanon,"15,840","14,744","123,586","12,411",10.72,109
69,Kuwait,"15,446","14,933","113,984","14,771",8.52,92
70,Philippines,"15,419","14,601","179,820","19,058",15.09,131
71,Cyprus,"12,652","11,923","107,432","13,360",13.97,100
72,Iceland,"12,399","11,649","245,501","23,667",25.76,181
73,Latvia,"12,144","11,888","83,101","12,569",9.21,94
74,Puerto Rico,"12,048","11,696","179,252","12,899",16.77,141
75,Uruguay,"10,815","10,379","130,755","18,620",15.52,114
76,Peru,"10,584","9,929","124,485","13,601",16.5,126
77,Armenia,"10,511","10,264","92,664","16,306",9.76,116
78,Oman,"9,663","9,076","56,077","6,914",7.96,74
79,Sri Lanka,"9,637","9,079","76,926","7,582",10.78,96
80,Ethiopia,"9,576","9,260","76,457","15,880",11.48,82
81,Tanzania,"9,170","8,702","115,070","18,093",15.94,102
82,Georgia,"8,759","8,233","67,334","9,792",8.7,90
83,Uganda,"8,723","8,193","111,614","18,739",18.13,111
84,Cameroon,"8,667","8,296","73,838","14,699",11.39,78
85,Luxembourg,"8,573","8,073","70,588","7,002",13.94,92
86,Azerbaijan,"8,296","8,156","25,625","5,520",3.48,50
87,Ghana,"8,264","7,825","67,843","8,341",11.64,82
88,Uzbekistan,"8,138","7,975","34,597","6,568",4.41,58
89,Qatar,"7,692","7,326","34,654","4,056",6.63,60
90,Iraq,"7,603","7,233","20,555","2,644",5.37,46
91,Kazakhstan,"7,423","7,274","26,836","4,223",5.03,59
92,Costa Rica,"7,267","6,988","105,286","11,289",17.15,115
93,Nepal,"7,007","6,398","53,576","6,853",10.76,80
94,Macedonia,"6,643","6,443","37,143","4,524",7.44,67
95,Zimbabwe,"5,838","5,582","67,451","7,038",12.13,81
96,Senegal,"5,738","5,433","54,388","7,119",11.72,83
97,Ecuador,"5,365","5,098","64,089","8,090",15.83,92
98,Bosnia and Herzegovina,"5,351","5,185","18,602","2,736",7.2,49
99,Moldova,"5,022","4,953","33,645","6,399",7.16,68
100,Sudan,"4,700","4,547","31,807","4,301",10.22,58
101,Syrian Arab Republic,"4,591","4,420","36,200","4,631",10.91,64
102,Trinidad and Tobago,"4,127","3,860","31,368","2,550",9.24,67
103,Panama,"4,061","3,851","91,925","9,474",32.74,119
104,C�te d'Ivoire,"4,028","3,876","38,316","4,236",11.5,76
105,Botswana,"3,987","3,769","34,329","3,785",10.2,63
106,Jamaica,"3,886","3,609","34,367","4,012",10.58,64
107,Malawi,"3,861","3,590","52,891","7,208",17.82,89
108,Burkina Faso,"3,776","3,643","39,566","6,229",13.38,71
109,Bahrain,"3,753","3,490","16,340","1,735",5.59,43
110,Palestine,"3,343","3,193","18,626","2,580",8.43,48
111,Libyan Arab Jamahiriya,"3,217","3,116","11,939",759,5.66,41
112,Macao,"3,178","3,061","11,515","1,586",6.61,41
113,Malta,"3,157","2,928","26,894","2,038",13.52,70
114,Zambia,"3,034","2,843","38,295","4,397",15.17,75
115,Benin,"2,970","2,869","23,684","4,294",11.13,55
116,Bolivia,"2,874","2,786","39,633","3,712",16.18,71
117,Mongolia,"2,576","2,494","21,967","2,397",14.55,61
118,Madagascar,"2,564","2,479","27,316","4,238",13,62
119,Congo,"2,413","2,271","21,263","2,168",11.57,56
120,North Korea,"2,235","2,200","30,424",225,12.89,67
121,Albania,"2,180","2,092","9,167",953,8.24,40
122,Yemen,"2,074","2,018","11,792","1,390",9.04,42
123,Mali,"1,989","1,909","24,360","2,524",15.58,59
124,Papua New Guinea,"1,865","1,804","22,431","2,407",12.74,59
125,Cambodia,"1,858","1,712","21,412","2,390",14.25,57
126,Fiji,"1,788","1,700","14,264","1,359",9.71,46
127,Guatemala,"1,779","1,658","19,667","1,305",14.12,58
128,Mozambique,"1,762","1,678","21,678","2,258",14.74,60
129,Namibia,"1,712","1,638","20,159","1,926",14.02,62
130,New Caledonia,"1,711","1,662","24,146","3,389",17.2,63
131,Mauritius,"1,682","1,606","11,522","1,020",8.76,45
132,Gambia,"1,670","1,548","41,178","3,693",27.55,85
133,Gabon,"1,664","1,573","24,457","2,807",17.55,67
134,Brunei Darussalam,"1,634","1,423","11,058","1,010",10.38,44
135,Montenegro,"1,472","1,442","3,853",854,2.35,23
136,Barbados,"1,359","1,198","14,527",933,12.51,55
137,Laos,"1,319","1,261","12,468","1,724",13.44,49
138,Monaco,"1,316","1,212","20,876","2,619",19,64
139,Niger,"1,302","1,263","13,904","1,230",11.97,51
140,Myanmar,"1,190","1,147","9,672",720,12.73,41
141,Guadeloupe,"1,179","1,125","12,534","1,095",12.57,46
142,Kyrgyzstan,"1,156","1,119","6,394",682,6.8,35
143,Rwanda,"1,150","1,061","8,700",767,14.08,43
144,Togo,"1,143","1,068","6,263",611,6.74,33
145,Paraguay,"1,090","1,047","11,731",711,14.51,48
146,Nicaragua,"1,066","1,024","12,492",967,14.99,51
147,French Polynesia,"1,031",997,"13,906","1,515",15.97,50
148,Tajikistan,"1,005",990,"3,005",506,3.53,24
149,Liechtenstein,966,923,"9,597",819,13.41,44
150,El Salvador,849,807,"5,912",315,8.46,36
151,Dominican Republic,839,800,"8,975",496,14.14,43
152,Swaziland,828,778,"6,075",341,9.1,35
153,Honduras,805,776,"9,016",470,13.74,45
154,French Guiana,792,746,"10,510",795,15.71,46
155,Greenland,729,711,"8,970","1,242",19.22,40
156,Guam,671,640,"9,118",462,15.85,48
157,Grenada,664,596,"3,701",187,12.95,27
158,Afghanistan,586,519,"2,840",315,5.89,24
159,Bermuda,549,520,"16,068","1,272",32.24,62
160,Ha�ti,531,477,"8,035",589,23,39
161,Martinique,528,498,"4,984",189,9.76,34
162,Angola,516,500,"3,451",236,9.57,28
163,Reunion,477,451,"4,175",109,9.52,31
164,Guyana,461,427,"3,651",139,9.79,28
165,Central African Republic,434,410,"4,903",273,13.01,36
166,Guinea,426,404,"5,156",213,15.59,37
167,Netherlands Antilles,409,378,"5,713",206,14.75,39
168,Democratic Republic Congo,401,377,"4,787",149,15.66,33
169,Mauritania,400,383,"3,382",205,10.15,28
170,Eritrea,399,387,"3,754",308,9.99,28
171,Sierra Leone,390,365,"2,632",172,8.66,23
172,Faroe Islands,380,356,"7,185",562,28.37,40
173,Seychelles,375,353,"5,868",486,20.01,38
174,Lesotho,369,352,"2,377",142,8.07,23
175,Bhutan,367,357,"1,795",210,7.2,20
176,Guinea-Bissau,359,332,"6,890","1,231",24.26,44
177,Burundi,321,312,"2,633",137,10.44,26
178,Falkland Islands (Malvinas),309,294,"3,356",549,12.46,29
179,Chad,305,290,"3,683",278,13.48,29
180,Bahamas,295,277,"3,157",236,15.79,30
181,Belize,256,240,"2,801",160,15.02,29
182,Solomon Islands,249,231,"2,887",215,14.54,27
183,Vanuatu,244,233,"2,070",253,10.94,24
184,Turkmenistan,238,235,"1,511",150,8,17
185,Suriname,228,217,"1,903",147,11.38,25
186,Samoa,200,196,"1,771",115,9.26,22
187,Cayman Islands,195,179,"1,133",48,8.82,16
188,Dominica,195,176,"1,159",102,8.23,18
189,Virgin Islands (U.S.),183,178,"2,371",55,13.87,26
190,Saint Kitts and Nevis,164,144,"1,187",32,13.6,18
191,Federated States of Micronesia,157,151,"1,511",107,12.49,20
192,Djibouti,151,139,822,58,7.33,15
193,San Marino,151,144,"1,710",39,19.26,19
194,Maldives,150,146,"1,171",62,7.96,18
195,Liberia,148,132,742,42,9.29,16
196,Cape Verde,130,124,857,66,7.19,13
197,Andorra,126,110,"1,212",44,9.43,18
198,American Samoa,126,117,"1,486",77,12.52,19
199,Palau,120,116,"1,601",95,16.91,23
200,Equatorial Guinea,119,116,"1,137",124,10.06,17
201,Virgin Islands (British),96,92,"1,498",44,16.97,17
202,Tonga,90,88,958,60,10.69,17
203,Antigua and Barbuda,86,81,371,16,5.85,10
204,Comoros,79,74,620,40,10.25,11
205,Montserrat,78,78,"1,773",172,23.3,23
206,Somalia,77,70,420,20,8.6,13
207,Saint Lucia,74,65,"1,253",9,22.59,14
208,Gibraltar,73,68,939,94,16.11,16
209,Mayotte,67,65,280,17,4.85,8
210,Marshall Islands,65,64,601,26,7.92,14
211,Timor-Leste,65,58,300,25,7.99,10
212,Aruba,54,49,315,4,7.85,10
213,Northern Mariana Islands,54,53,506,27,11.28,13
214,Cook Islands,43,42,404,27,12.26,10
215,Sao Tome and Principe,42,40,527,56,13.17,15
216,Turks and Caicos Islands,33,32,307,7,12.31,11
217,Saint Vincent and The Grenadines,30,29,357,1,13.59,10
218,Vatican City State,22,12,61,3,2.3,4
219,Anguilla,20,17,82,2,5.14,5
220,Norfolk Island,19,19,75,0,3.94,5
221,United States Minor Outlying Islands,19,18,530,0,35.48,8
222,Kiribati,17,16,97,1,6.84,6
223,British Indian Ocean Territory,16,13,203,0,19.68,7
224,Nauru,16,16,64,0,4.6,5
225,Svalbard and Jan Mayen,16,15,235,3,19.05,8
226,Tuvalu,16,16,155,2,9.94,7
227,Cocos (Keeling) Islands,14,14,136,0,18.36,3
228,Niue,12,10,18,0,0.88,2
229,Saint Helena,10,10,31,0,3.28,3
230,Wallis and Futuna,10,10,36,1,4,3
231,Western Sahara,6,6,13,0,2.44,3
232,Christmas Island,5,5,27,0,5.4,3
233,French Southern Territories,4,4,73,0,18.25,4
234,Bouvet Island,4,2,8,0,1.83,2
